,Major,Degree_type,Early Career Pay,Mid Career Pay,% High Meaning,Field Type
352,Environmental Health,Bachelors,50000.0,89100.0,0.65,OTHER FIELDS
353,Agricultural Science,Bachelors,48900.0,88900.0,0.59,OTHER FIELDS
354,Agronomy,Bachelors,50200.0,88900.0,0.65,OTHER FIELDS
355,International Studies,Bachelors,50000.0,88900.0,0.51,OTHER FIELDS
356,Design,Bachelors,52800.0,88800.0,0.4,OTHER FIELDS
357,Applied Science,Bachelors,46400.0,88700.0,0.0,OTHER FIELDS
358,Architectural Engineering Technology,Bachelors,52200.0,88700.0,0.59,STEM
359,German Language,Bachelors,50700.0,88700.0,0.41,OTHER FIELDS
360,Technology,Bachelors,56200.0,88600.0,0.64,OTHER FIELDS
361,Advertising & Promotion,Bachelors,46100.0,88500.0,0.46,OTHER FIELDS
362,Pre-law,Bachelors,46800.0,88400.0,0.45,OTHER FIELDS
363,Digital Media,Bachelors,47300.0,88200.0,0.38,OTHER FIELDS
364,Biological Anthropology,Bachelors,46200.0,88100.0,0.49,OTHER FIELDS
365,Personal Financial Planning,Bachelors,53800.0,88100.0,0.6,OTHER FIELDS
366,Professional Pilot Education,Bachelors,63700.0,88000.0,0.0,OTHER FIELDS
367,Textile Technology,Bachelors,54000.0,88000.0,0.42,OTHER FIELDS
368,Web & Digital Media Development,Bachelors,52300.0,88000.0,0.33,OTHER FIELDS
369,Entrepreneurial Studies,Bachelors,48700.0,87900.0,0.37,OTHER FIELDS
370,Fashion Design,Bachelors,47500.0,87700.0,0.27,OTHER FIELDS
371,Retailing,Bachelors,51300.0,87600.0,0.35,OTHER FIELDS
372,Business Communication,Bachelors,50900.0,87300.0,0.47,BUSINESS
373,Environmental Science,Bachelors,49100.0,87300.0,0.59,OTHER FIELDS
374,Product Design Engineering,Bachelors,65500.0,87200.0,0.35,STEM
375,English Literature,Bachelors,47700.0,87000.0,0.45,OTHER FIELDS
376,Logistics,Bachelors,57600.0,87000.0,0.41,OTHER FIELDS
377,Math & Science,Bachelors,55600.0,86900.0,0.66,STEM
378,International Trade & Business,Bachelors,54800.0,86800.0,0.27,BUSINESS
379,Pre-Medicine,Bachelors,50800.0,86800.0,0.67,OTHER FIELDS
380,Speech & Drama,Bachelors,37500.0,86800.0,0.0,OTHER FIELDS
381,Toxicology,Bachelors,44600.0,86800.0,0.0,OTHER FIELDS
382,Advertising & Marketing,Bachelors,49000.0,86700.0,0.38,OTHER FIELDS
383,Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,54000.0,86700.0,0.57,OTHER FIELDS
384,Marketing & Mass Communications,Bachelors,45400.0,86700.0,0.41,OTHER FIELDS
385,Welding Technology,Bachelors,48400.0,86700.0,0.0,OTHER FIELDS
386,General Business,Bachelors,50200.0,86600.0,0.51,BUSINESS
387,Construction Engineering Technology,Bachelors,55800.0,86400.0,0.53,STEM
388,Architectural Studies,Bachelors,45400.0,86400.0,0.42,OTHER FIELDS
389,Aviation Maintenance Technology,Bachelors,51000.0,86300.0,0.6,OTHER FIELDS
390,Communication Studies & Journalism,Bachelors,44800.0,86200.0,0.47,OTHER FIELDS
391,Management,Bachelors,51600.0,86200.0,0.48,OTHER FIELDS
392,General Science,Bachelors,49100.0,86100.0,0.6,OTHER FIELDS
393,Magazine Journalism,Bachelors,46800.0,86100.0,0.32,OTHER FIELDS
394,Electronics & Computer Technology,Bachelors,55600.0,86000.0,0.0,OTHER FIELDS
395,Theatre & Drama Studies,Bachelors,44800.0,86000.0,0.49,OTHER FIELDS
396,Animation,Bachelors,45000.0,85900.0,0.35,OTHER FIELDS
397,Biology & Chemistry,Bachelors,49200.0,85900.0,0.66,OTHER FIELDS
398,Diagnostic Medical Ultrasound,Bachelors,67700.0,85900.0,0.67,OTHER FIELDS
399,History & Politics,Bachelors,49500.0,85900.0,0.51,OTHER FIELDS
400,Public Affairs,Bachelors,52700.0,85900.0,0.5,OTHER FIELDS
401,Romance Languages,Bachelors,53000.0,85900.0,0.53,OTHER FIELDS
402,Physiology,Bachelors,49300.0,85900.0,0.63,OTHER FIELDS
403,Corporate Communications,Bachelors,48500.0,85700.0,0.42,OTHER FIELDS
404,International Affairs,Bachelors,51600.0,85700.0,0.52,OTHER FIELDS
405,Nursing Science,Bachelors,66800.0,85700.0,0.84,OTHER FIELDS
406,Organizational Development,Bachelors,53800.0,85700.0,0.54,OTHER FIELDS
407,Textile & Apparel Studies,Bachelors,47100.0,85700.0,0.3,OTHER FIELDS
408,Business Administration,Bachelors,52800.0,85600.0,0.5,BUSINESS
409,Business Administration & Accounting,Bachelors,52400.0,85600.0,0.55,BUSINESS
410,Philosophy & Religion,Bachelors,43800.0,85600.0,0.55,OTHER FIELDS
411,Architectural Design,Bachelors,47700.0,85400.0,0.6,OTHER FIELDS
412,Textile Design,Bachelors,50000.0,85200.0,0.43,OTHER FIELDS
413,Interpersonal & Organizational Communication,Bachelors,42400.0,85200.0,0.56,OTHER FIELDS
414,Geographic Information Systems (GIS),Bachelors,50000.0,85100.0,0.52,OTHER FIELDS
415,Business Management,Bachelors,51700.0,85000.0,0.51,BUSINESS
416,Linguistics,Bachelors,52100.0,84900.0,0.43,OTHER FIELDS
417,French Language,Bachelors,49600.0,84800.0,0.47,OTHER FIELDS
418,Communication,Bachelors,48000.0,84700.0,0.45,OTHER FIELDS
419,Neuroscience,Bachelors,51800.0,84700.0,0.58,OTHER FIELDS
420,Business Management & Human Resources Management (HRM),Bachelors,46800.0,84600.0,0.57,BUSINESS
421,Journalism & Mass Communication,Bachelors,46300.0,84600.0,0.44,OTHER FIELDS
422,Accounting & Management,Bachelors,55500.0,84500.0,0.52,BUSINESS
423,Sociology & Organizational Studies,Bachelors,53500.0,84300.0,0.57,OTHER FIELDS
424,Crop Science,Bachelors,48700.0,84200.0,0.6,OTHER FIELDS
425,French Studies,Bachelors,52400.0,84200.0,0.57,OTHER FIELDS
426,Writing,Bachelors,44200.0,84200.0,0.42,OTHER FIELDS
427,Nursing,Bachelors,65000.0,84200.0,0.83,OTHER FIELDS
428,History,Bachelors,47800.0,84100.0,0.46,OTHER FIELDS
429,Biology,Bachelors,47100.0,84000.0,0.65,OTHER FIELDS
430,Land Surveying,Bachelors,51900.0,84000.0,0.54,OTHER FIELDS
431,Architectural Technology,Bachelors,46700.0,83900.0,0.61,OTHER FIELDS
432,Health Care,Bachelors,44400.0,83900.0,0.74,OTHER FIELDS
433,Integrated Marketing Communications,Bachelors,47000.0,83900.0,0.36,OTHER FIELDS
434,Agriculture,Bachelors,47700.0,83800.0,0.61,OTHER FIELDS
435,Digital Design,Bachelors,50000.0,83600.0,0.4,OTHER FIELDS
436,Marketing & Advertising,Bachelors,49300.0,83600.0,0.44,OTHER FIELDS
437,Organizational Communication,Bachelors,46400.0,83600.0,0.49,OTHER FIELDS
438,Visual Effects & Motion Graphics,Bachelors,48100.0,83400.0,0.38,OTHER FIELDS
439,Public Relations & Communication,Bachelors,45700.0,83300.0,0.47,OTHER FIELDS
440,General & Strategic Management,Bachelors,51200.0,83300.0,0.55,OTHER FIELDS
441,Foreign Languages,Bachelors,48400.0,83100.0,0.52,OTHER FIELDS
442,Retail Merchandising,Bachelors,50900.0,83100.0,0.31,OTHER FIELDS
443,Agribusiness Management,Bachelors,47700.0,83000.0,0.46,BUSINESS
444,Global Business,Bachelors,55800.0,83000.0,0.31,BUSINESS
445,Professional & Technical Writing,Bachelors,48500.0,83000.0,0.44,OTHER FIELDS
446,Computer Art,Bachelors,40400.0,82900.0,0.31,OTHER FIELDS
447,Environmental Management,Bachelors,50200.0,82900.0,0.62,OTHER FIELDS
448,Environmental Studies,Bachelors,48500.0,82900.0,0.59,OTHER FIELDS
449,Journalism,Bachelors,45900.0,82900.0,0.44,OTHER FIELDS
450,Travel Industry Management,Bachelors,52600.0,82900.0,0.0,OTHER FIELDS
451,International Development Studies,Bachelors,47700.0,82800.0,0.64,OTHER FIELDS
452,Natural Sciences,Bachelors,45100.0,82800.0,0.55,OTHER FIELDS
453,Retail & Consumer Science,Bachelors,51800.0,82800.0,0.32,OTHER FIELDS
454,Literature,Bachelors,46800.0,82800.0,0.47,OTHER FIELDS
455,Bachelor in Science Nursing,Bachelors,64000.0,82700.0,0.81,OTHER FIELDS
456,History & Political Science,Bachelors,50600.0,82700.0,0.5,OTHER FIELDS
457,Museum Studies,Bachelors,38900.0,82700.0,0.5,OTHER FIELDS
458,Computer Information Management,Bachelors,49400.0,82600.0,0.0,OTHER FIELDS
459,Dental Hygiene,Bachelors,72700.0,82600.0,0.8,OTHER FIELDS
460,Law,Bachelors,54300.0,82600.0,0.53,OTHER FIELDS
461,Network Technology,Bachelors,59800.0,82600.0,0.57,OTHER FIELDS
462,Media Studies,Bachelors,50700.0,82400.0,0.38,OTHER FIELDS
463,Environmental Geography,Bachelors,50200.0,82300.0,0.52,OTHER FIELDS
464,Law Enforcement,Bachelors,46700.0,82200.0,0.6,OTHER FIELDS
465,Nuclear Medicine,Bachelors,60300.0,81900.0,0.81,OTHER FIELDS
466,Bachelor of Science in Nursing,Bachelors,63800.0,81900.0,0.83,OTHER FIELDS
467,Computer Animation,Bachelors,46800.0,81800.0,0.36,OTHER FIELDS
468,Landscape Architecture,Bachelors,51500.0,81800.0,0.65,OTHER FIELDS
469,Publishing,Bachelors,46300.0,81800.0,0.39,OTHER FIELDS
470,Interior Architecture,Bachelors,47600.0,81500.0,0.45,OTHER FIELDS
471,Diagnostic Medical Sonography,Bachelors,64300.0,81400.0,0.86,OTHER FIELDS
472,Environmental & Natural Resource Economics,Bachelors,52400.0,81400.0,0.65,OTHER FIELDS
473,Public Relations (PR),Bachelors,45600.0,81400.0,0.42,OTHER FIELDS
474,Workforce Education & Development,Bachelors,59900.0,81400.0,0.8,OTHER FIELDS
475,American History (United States),Bachelors,50900.0,81300.0,0.52,OTHER FIELDS
476,Drama,Bachelors,47400.0,81100.0,0.47,OTHER FIELDS
477,Management (MGT),Bachelors,47000.0,81000.0,0.62,OTHER FIELDS
478,Merchandising Management,Bachelors,46800.0,80900.0,0.38,OTHER FIELDS
479,Environmental Biology,Bachelors,45000.0,80800.0,0.7,OTHER FIELDS
480,Accounting & Business,Bachelors,52400.0,80700.0,0.48,BUSINESS
481,Automotive Technology & Service Management,Bachelors,48800.0,80500.0,0.32,OTHER FIELDS
482,Speech Communication,Bachelors,46700.0,80500.0,0.54,OTHER FIELDS
483,Allied Health,Bachelors,44800.0,80400.0,0.78,OTHER FIELDS
484,Agricultural Systems Technology,Bachelors,60500.0,80300.0,0.0,OTHER FIELDS
485,Emergency Management,Bachelors,50900.0,80300.0,0.8,OTHER FIELDS
486,Network Administration,Bachelors,48700.0,80300.0,0.56,OTHER FIELDS
487,Communication Management,Bachelors,46000.0,80200.0,0.38,OTHER FIELDS
488,Historic Preservation,Bachelors,43400.0,80000.0,0.0,OTHER FIELDS
489,Broadcast Journalism,Bachelors,42900.0,79900.0,0.5,OTHER FIELDS
490,Broadcast & Cinematic Arts,Bachelors,42800.0,79900.0,0.43,OTHER FIELDS
491,Automotive Technology,Bachelors,48100.0,79800.0,0.47,OTHER FIELDS
492,Business Management & Administration,Bachelors,51400.0,79800.0,0.53,BUSINESS
493,Agricultural Business,Bachelors,52700.0,79700.0,0.51,BUSINESS
494,Technology Management,Bachelors,56400.0,79700.0,0.47,OTHER FIELDS
495,Global Studies,Bachelors,51200.0,79600.0,0.46,OTHER FIELDS
496,Professional Studies,Bachelors,42800.0,79600.0,0.62,OTHER FIELDS
497,Interpersonal Communications,Bachelors,45000.0,79500.0,0.53,OTHER FIELDS
498,Forestry,Bachelors,45900.0,79400.0,0.67,OTHER FIELDS
499,Homeland Security,Bachelors,49200.0,79400.0,0.72,OTHER FIELDS
500,Ancient History,Bachelors,46000.0,79300.0,0.0,OTHER FIELDS
501,Botany,Bachelors,42600.0,79300.0,0.73,OTHER FIELDS
502,Geography,Bachelors,49700.0,79300.0,0.52,OTHER FIELDS
503,Computer Aided Design (CAD),Bachelors,48700.0,79200.0,0.0,OTHER FIELDS
504,Nutrition Science,Bachelors,49500.0,79200.0,0.7,OTHER FIELDS
505,Acting,Bachelors,44200.0,79100.0,0.5,OTHER FIELDS
506,Public Management,Bachelors,50200.0,79100.0,0.66,OTHER FIELDS
507,Nuclear Medicine Technology,Bachelors,61700.0,79000.0,0.82,OTHER FIELDS
508,Apparel & Textile Manufacture,Bachelors,48300.0,78900.0,0.37,OTHER FIELDS
509,English Language & Literature,Bachelors,46400.0,78900.0,0.44,OTHER FIELDS
510,Urban Studies,Bachelors,51500.0,78900.0,0.57,OTHER FIELDS
511,Mass Communication,Bachelors,44800.0,78800.0,0.44,OTHER FIELDS
512,Forestry Management,Bachelors,48600.0,78700.0,0.71,OTHER FIELDS
513,Radio/Television & Film Production,Bachelors,45700.0,78700.0,0.39,OTHER FIELDS
514,Hospital Management,Bachelors,53200.0,78600.0,0.45,OTHER FIELDS
515,Human Resources Management (HRM),Bachelors,47900.0,78500.0,0.55,OTHER FIELDS
516,Marine Science,Bachelors,46100.0,78400.0,0.64,OTHER FIELDS
517,American Sign Language Interpreting,Bachelors,43100.0,78300.0,0.87,OTHER FIELDS
518,English & History,Bachelors,45700.0,78300.0,0.49,OTHER FIELDS
519,English Language,Bachelors,44600.0,78300.0,0.45,OTHER FIELDS
520,Cytotechnology,Bachelors,61900.0,78200.0,0.89,OTHER FIELDS
521,Geosciences,Bachelors,48700.0,78200.0,0.62,OTHER FIELDS
522,Hospital Administration,Bachelors,51200.0,78200.0,0.57,OTHER FIELDS
523,Film Production,Bachelors,44600.0,78100.0,0.33,OTHER FIELDS
524,Marine Biology,Bachelors,43300.0,78100.0,0.66,OTHER FIELDS
525,Zoology,Bachelors,42100.0,77900.0,0.67,OTHER FIELDS
526,Communication Design,Bachelors,51700.0,77800.0,0.34,OTHER FIELDS
527,Leadership,Bachelors,47200.0,77500.0,0.57,OTHER FIELDS
528,Music Technology,Bachelors,44800.0,77500.0,0.39,OTHER FIELDS
529,Musicology,Bachelors,40000.0,77500.0,0.0,OTHER FIELDS
530,Technical Writing,Bachelors,53300.0,77500.0,0.42,OTHER FIELDS
531,Agricultural Communication,Bachelors,44600.0,77400.0,0.52,OTHER FIELDS
532,Logistics Management,Bachelors,56300.0,77400.0,0.49,OTHER FIELDS
533,German Language & Literature,Bachelors,49400.0,77300.0,0.47,OTHER FIELDS
534,Administration,Bachelors,44600.0,77100.0,0.58,OTHER FIELDS
535,Apparel Merchandising,Bachelors,47600.0,77100.0,0.35,OTHER FIELDS
536,Computer Aided Drafting & Design (CADD),Bachelors,49100.0,77100.0,0.52,OTHER FIELDS
537,Organizational Leadership & Supervision,Bachelors,49600.0,77100.0,0.51,OTHER FIELDS
538,Printing Technology,Bachelors,46200.0,77100.0,0.0,OTHER FIELDS
539,Spanish Language,Bachelors,47700.0,77100.0,0.51,OTHER FIELDS
540,Multimedia,Bachelors,44700.0,77000.0,0.45,OTHER FIELDS
541,Spanish Language Teacher Education,Bachelors,45500.0,76900.0,0.73,OTHER FIELDS
542,Public Administration,Bachelors,46700.0,76900.0,0.57,OTHER FIELDS
543,Human Nutrition,Bachelors,48600.0,76900.0,0.85,OTHER FIELDS
544,Audio Engineering,Bachelors,48300.0,76800.0,0.39,STEM
545,Graphics Technology & Management,Bachelors,39500.0,76800.0,0.38,OTHER FIELDS
546,Physical Anthropology,Bachelors,52900.0,76800.0,0.51,OTHER FIELDS
547,Organizational Leadership,Bachelors,50500.0,76700.0,0.58,OTHER FIELDS
548,Environmental Health Science,Bachelors,53800.0,76600.0,0.61,OTHER FIELDS
549,Health Sciences,Bachelors,44600.0,76600.0,0.7,OTHER FIELDS
550,Journalism & Electronic Media,Bachelors,45200.0,76500.0,0.48,OTHER FIELDS
551,Religious Studies,Bachelors,43900.0,76300.0,0.55,OTHER FIELDS
552,Art History,Bachelors,46600.0,76200.0,0.45,OTHER FIELDS
553,Radiologic Science,Bachelors,57600.0,76200.0,0.81,OTHER FIELDS
554,3D Animation,Bachelors,51800.0,76000.0,0.42,OTHER FIELDS
555,Culture Studies,Bachelors,48100.0,75900.0,0.4,OTHER FIELDS
556,Merchandising,Bachelors,53100.0,75900.0,0.31,OTHER FIELDS
557,Administrative Management,Bachelors,52700.0,75800.0,0.5,OTHER FIELDS
558,Human Resources (HR),Bachelors,47300.0,75800.0,0.56,OTHER FIELDS
559,Liberal Arts,Bachelors,44500.0,75800.0,0.53,OTHER FIELDS
560,Adult Education & Training,Bachelors,48700.0,75600.0,0.79,OTHER FIELDS
561,Fashion Merchandising,Bachelors,46900.0,75600.0,0.29,OTHER FIELDS
562,Health & Fitness,Bachelors,39800.0,75600.0,0.67,OTHER FIELDS
563,Natural Resources,Bachelors,47400.0,75500.0,0.64,OTHER FIELDS
564,Organizational Management,Bachelors,48800.0,75500.0,0.57,OTHER FIELDS
565,Modern Languages,Bachelors,50300.0,75400.0,0.53,OTHER FIELDS
566,Natural Resource Management,Bachelors,46500.0,75400.0,0.6,OTHER FIELDS
567,Retail Management,Bachelors,50100.0,75400.0,0.35,OTHER FIELDS
568,Sociology & Anthropology,Bachelors,44500.0,75400.0,0.5,OTHER FIELDS
569,Creative Writing,Bachelors,45300.0,75200.0,0.41,OTHER FIELDS
570,Criminal Justice Administration,Bachelors,45700.0,75100.0,0.56,OTHER FIELDS
571,Ethnic Studies,Bachelors,47500.0,74900.0,0.63,OTHER FIELDS
572,Philosophy & Religious Studies,Bachelors,49300.0,74900.0,0.61,OTHER FIELDS
573,Radiology,Bachelors,54800.0,74900.0,0.8,OTHER FIELDS
574,Medical Laboratory Technology,Bachelors,56900.0,74400.0,0.82,OTHER FIELDS
575,Sports Management,Bachelors,45400.0,74400.0,0.43,OTHER FIELDS
576,Anthropology & English,Bachelors,48000.0,74300.0,0.0,OTHER FIELDS
577,Broadcast Communication,Bachelors,40000.0,74300.0,0.44,OTHER FIELDS
578,Criminology,Bachelors,44700.0,74300.0,0.54,OTHER FIELDS
579,Earth Science,Bachelors,50000.0,74300.0,0.48,OTHER FIELDS
580,Media & Technology,Bachelors,45200.0,74300.0,0.43,OTHER FIELDS
581,Visual Communications,Bachelors,45400.0,74300.0,0.38,OTHER FIELDS
582,Advertising & Graphic Design,Bachelors,46800.0,74200.0,0.37,OTHER FIELDS
583,Applied Behavior Analysis,Bachelors,38700.0,74200.0,0.81,OTHER FIELDS
584,Psychology,Bachelors,44700.0,74200.0,0.56,OTHER FIELDS
585,Applied Management,Bachelors,45500.0,74100.0,0.53,OTHER FIELDS
586,Hotel & Restaurant Management,Bachelors,47300.0,74100.0,0.48,OTHER FIELDS
587,Anthropology,Bachelors,46400.0,73900.0,0.46,OTHER FIELDS
588,Arts Management,Bachelors,39400.0,73800.0,0.48,OTHER FIELDS
589,Diagnostic Medical Imaging,Bachelors,60600.0,73800.0,0.73,OTHER FIELDS
590,Communication Arts,Bachelors,42400.0,73600.0,0.39,OTHER FIELDS
591,Middle Eastern Studies,Bachelors,57100.0,73600.0,0.48,OTHER FIELDS
592,Radiologic Technology,Bachelors,55200.0,73600.0,0.83,OTHER FIELDS
593,Painting & Printmaking,Bachelors,34700.0,73600.0,0.41,OTHER FIELDS
594,Cardiopulmonary Science,Bachelors,48900.0,73400.0,0.9,OTHER FIELDS
595,Human Relations,Bachelors,45000.0,73400.0,0.63,OTHER FIELDS
596,Humanities,Bachelors,48500.0,73200.0,0.49,SSH
597,Health Care Administration,Bachelors,45800.0,73100.0,0.69,OTHER FIELDS
598,Health Care Management,Bachelors,46700.0,73000.0,0.72,OTHER FIELDS
599,Life Sciences,Bachelors,53100.0,73000.0,0.64,STEM
600,Ecology,Bachelors,46400.0,72900.0,0.57,OTHER FIELDS
601,Media Arts,Bachelors,46500.0,72900.0,0.34,OTHER FIELDS
602,Respiratory Care,Bachelors,54800.0,72800.0,0.84,OTHER FIELDS
603,Art & Design,Bachelors,45100.0,72700.0,0.38,OTHER FIELDS
604,Health Information Management,Bachelors,49000.0,72700.0,0.69,OTHER FIELDS
605,Hospitality Management,Bachelors,46400.0,72700.0,0.43,OTHER FIELDS
606,Health Teacher Education,Bachelors,37900.0,72600.0,0.46,OTHER FIELDS
607,Sports Medicine,Bachelors,50100.0,72600.0,0.77,OTHER FIELDS
608,Multimedia & Web Design,Bachelors,50200.0,72600.0,0.34,OTHER FIELDS
609,Sociology,Bachelors,46200.0,72500.0,0.55,OTHER FIELDS
610,Liberal Studies,Bachelors,44300.0,72400.0,0.56,OTHER FIELDS
611,Interior Design,Bachelors,45100.0,72300.0,0.5,OTHER FIELDS
612,Medical Laboratory Science,Bachelors,55600.0,72300.0,0.85,OTHER FIELDS
613,Secondary Education,Bachelors,44600.0,72300.0,0.59,OTHER FIELDS
614,Child Psychology,Bachelors,38900.0,72200.0,0.64,OTHER FIELDS
615,Exercise Physiology,Bachelors,44100.0,72200.0,0.76,OTHER FIELDS
616,Radiography,Bachelors,55300.0,72200.0,0.85,OTHER FIELDS
617,Archaeology,Bachelors,45900.0,72100.0,0.46,OTHER FIELDS
618,Art Administration,Bachelors,40200.0,72100.0,0.56,OTHER FIELDS
619,Hotel & Restaurant Tourism,Bachelors,44300.0,72100.0,0.49,OTHER FIELDS
620,Illustration,Bachelors,45200.0,72100.0,0.36,OTHER FIELDS
621,Arts & Science,Bachelors,45700.0,71900.0,0.0,OTHER FIELDS
622,Health,Bachelors,44200.0,71900.0,0.73,OTHER FIELDS
623,Turfgrass Management,Bachelors,53100.0,71900.0,0.51,OTHER FIELDS
624,Animal Science & Management,Bachelors,44200.0,71800.0,0.55,OTHER FIELDS
625,SocialStudies,Bachelors,45800.0,71700.0,0.57,OTHER FIELDS
626,Human Resources Development,Bachelors,48600.0,71600.0,0.5,OTHER FIELDS
627,Speech Pathology & Audiology,Bachelors,44100.0,71600.0,0.78,OTHER FIELDS
628,Clinical Laboratory Science,Bachelors,55100.0,71500.0,0.83,OTHER FIELDS
629,Forensic Science,Bachelors,46000.0,71500.0,0.64,OTHER FIELDS
630,Health Administration,Bachelors,42700.0,71500.0,0.66,OTHER FIELDS
631,Geomatics,Bachelors,52300.0,71400.0,0.7,OTHER FIELDS
632,Media Communication,Bachelors,47000.0,71400.0,0.45,OTHER FIELDS
633,Health Management,Bachelors,45100.0,71300.0,0.0,OTHER FIELDS
634,Commercial Photography,Bachelors,43800.0,71300.0,0.23,OTHER FIELDS
635,Fashion Design & Marketing,Bachelors,45300.0,71100.0,0.44,OTHER FIELDS
636,Mass Media,Bachelors,40300.0,71100.0,0.49,OTHER FIELDS
637,Medical Technology,Bachelors,56500.0,71000.0,0.81,OTHER FIELDS
638,Respiratory Therapy,Bachelors,54500.0,70900.0,0.82,OTHER FIELDS
639,Theater,Bachelors,44600.0,70700.0,0.5,OTHER FIELDS
640,Forensic Psychology,Bachelors,43000.0,70600.0,0.54,OTHER FIELDS
641,Kinesiology,Bachelors,44800.0,70600.0,0.66,OTHER FIELDS
642,Performing Arts,Bachelors,45700.0,70500.0,0.57,OTHER FIELDS
643,Psychology & Social Behavior,Bachelors,45800.0,70500.0,0.59,OTHER FIELDS
644,Religion,Bachelors,44400.0,70500.0,0.59,OTHER FIELDS
645,Radio & Television,Bachelors,43100.0,70500.0,0.41,OTHER FIELDS
646,Technology Teacher Education,Bachelors,47700.0,70400.0,0.57,OTHER FIELDS
647,Educational Studies (ED),Bachelors,40300.0,70200.0,0.65,OTHER FIELDS
648,Music,Bachelors,44300.0,70200.0,0.55,OTHER FIELDS
649,Business Leadership,Bachelors,50100.0,70200.0,0.45,BUSINESS
650,Drafting & Design,Bachelors,51000.0,70100.0,0.69,OTHER FIELDS
651,Plant Sciences,Bachelors,48000.0,70100.0,0.6,OTHER FIELDS
652,Criminal Justice,Bachelors,42800.0,69800.0,0.56,OTHER FIELDS
653,Web Design,Bachelors,49900.0,69800.0,0.25,OTHER FIELDS
654,Graphic Design,Bachelors,45100.0,69700.0,0.37,OTHER FIELDS
655,Nutrition,Bachelors,48100.0,69600.0,0.65,OTHER FIELDS
656,Nutrition & Dietetics,Bachelors,50800.0,69600.0,0.72,OTHER FIELDS
657,Missions,Bachelors,41300.0,69500.0,0.0,OTHER FIELDS
658,Dramatic Art,Bachelors,41400.0,69400.0,0.0,OTHER FIELDS
659,Fashion Marketing & Management,Bachelors,47700.0,69100.0,0.3,OTHER FIELDS
660,Interdisciplinary Studies (IS),Bachelors,44600.0,68900.0,0.56,OTHER FIELDS
661,Hospitality & Tourism,Bachelors,44200.0,68800.0,0.41,OTHER FIELDS
662,Human Ecology,Bachelors,42100.0,68800.0,0.54,OTHER FIELDS
663,Ornamental Horticulture,Bachelors,46000.0,68800.0,0.69,OTHER FIELDS
664,Physical Therapist Assistant Studies,Bachelors,49900.0,68800.0,0.85,OTHER FIELDS
665,Public Health (PH),Bachelors,46000.0,68800.0,0.69,OTHER FIELDS
666,Art Therapy,Bachelors,41100.0,68600.0,0.8,OTHER FIELDS
667,Dietetics,Bachelors,51300.0,68600.0,0.74,OTHER FIELDS
668,Landscape Management,Bachelors,52300.0,68600.0,0.0,OTHER FIELDS
669,Applied Sociology,Bachelors,42200.0,68500.0,0.57,OTHER FIELDS
670,Fine Arts,Bachelors,43200.0,68500.0,0.44,OTHER FIELDS
671,Modern Language Spanish,Bachelors,43800.0,68500.0,0.52,OTHER FIELDS
672,Women's Studies,Bachelors,45200.0,68500.0,0.59,OTHER FIELDS
673,Social & Criminal Justice,Bachelors,44800.0,68500.0,0.59,OTHER FIELDS
674,Animal Science,Bachelors,41200.0,68300.0,0.64,OTHER FIELDS
675,New Media,Bachelors,46000.0,68300.0,0.33,OTHER FIELDS
676,Textiles & Clothing,Bachelors,45100.0,68300.0,0.47,OTHER FIELDS
677,Event Management,Bachelors,41700.0,68200.0,0.4,OTHER FIELDS
678,Family & Consumer Science,Bachelors,42600.0,68000.0,0.59,OTHER FIELDS
679,Speech-Language Pathology,Bachelors,44100.0,67900.0,0.7,OTHER FIELDS
680,Technical Theatre,Bachelors,41000.0,67600.0,0.42,OTHER FIELDS
681,Education,Bachelors,44100.0,67500.0,0.65,OTHER FIELDS
682,Foods & Nutrition,Bachelors,47000.0,67500.0,0.68,OTHER FIELDS
683,Recreation Management,Bachelors,42300.0,67500.0,0.58,OTHER FIELDS
684,Business & Healthcare Management,Bachelors,46900.0,67300.0,0.69,BUSINESS
685,Agricultural Teacher Education,Bachelors,53500.0,67100.0,0.0,OTHER FIELDS
686,Music Composition,Bachelors,44000.0,66900.0,0.51,OTHER FIELDS
687,Art,Bachelors,43400.0,66700.0,0.46,OTHER FIELDS
688,Psychology & Sociology,Bachelors,42800.0,66700.0,0.53,OTHER FIELDS
689,Drawing & Painting,Bachelors,42800.0,66600.0,0.48,OTHER FIELDS
690,Nonprofit Management,Bachelors,42300.0,66300.0,0.79,OTHER FIELDS
691,Small Business Management,Bachelors,47100.0,66200.0,0.38,BUSINESS
692,Behavioral Science,Bachelors,43000.0,66000.0,0.62,OTHER FIELDS
693,Horticulture & Agronomy,Bachelors,52500.0,65900.0,0.0,OTHER FIELDS
694,Health Services Administration,Bachelors,42700.0,65800.0,0.63,OTHER FIELDS
695,Multidisciplinary Studies,Bachelors,41800.0,65800.0,0.53,OTHER FIELDS
696,Restaurant & Food Service Management,Bachelors,43900.0,65800.0,0.45,OTHER FIELDS
697,Consumer Affairs,Bachelors,51000.0,65700.0,0.43,OTHER FIELDS
698,Training and Development,Bachelors,52600.0,65600.0,0.0,OTHER FIELDS
699,Health & Exercise Science,Bachelors,41700.0,65600.0,0.67,OTHER FIELDS
700,Electronic Media,Bachelors,45300.0,65600.0,0.37,OTHER FIELDS
701,Environmental Resource Management,Bachelors,48700.0,65500.0,0.65,OTHER FIELDS
